"item_id","dataset_id","status","file_name","creation_date","update_date","resolved_wos_ut"
CTNG2026020016466762,DATA2026020034944139,A,CTNG2026020.XML,2026-08-20 06:09:01.246,2026-08-20 06:09:07.116,WOS:001648075900001
CTNG2026020016466775,DATA2026020034944152,A,CTNG2026020.XML,2026-08-20 06:09:01.506,2026-08-20 06:09:08.133,WOS:001646815000001
CTNG2026020016466813,DATA2026020034944208,A,CTNG2026020.XML,2026-08-20 06:09:01.961,2026-08-20 06:09:08.811,WOS:001642799800002
CTNG2026020016466816,DATA2026020034944211,A,CTNG2026020.XML,2026-08-20 06:09:02.011,2026-08-20 06:09:10.046,WOS:001472614300001
CTNG2026020016466825,DATA2026020034944220,A,CTNG2026020.XML,2026-08-20 06:09:02.195,2026-08-20 06:09:10.734,WOS:001644002300001
CTNG2026020016466695,DATA2026020034944033,A,CTNG2026020.XML,2026-08-20 06:09:00.549,2026-08-20 06:09:02.824,WOS:001680925700006
CTNG2026020016466700,DATA2026020034944038,A,CTNG2026020.XML,2026-08-20 06:09:00.629,2026-08-20 06:09:03.674,WOS:001335864800001
CTNG2026020016466673,DATA2026020034944010,A,CTNG2026020.XML,2026-08-20 06:09:00.153,2026-08-20 06:09:03.770,WOS:001652375300001
CTNG2026020016466686,DATA2026020034944024,A,CTNG2026020.XML,2026-08-20 06:09:00.397,2026-08-20 06:09:02.926,WOS:001656485200001
CTNG2026020016466705,DATA2026020034944043,A,CTNG2026020.XML,2026-08-20 06:09:00.728,2026-08-20 06:09:03.281,WOS:001650871800001
CTNG2026020016466698,DATA2026020034944036,A,CTNG2026020.XML,2026-08-20 06:09:00.599,2026-08-20 06:09:03.513,WOS:001335864800001
CTNG2026020016466693,DATA2026020034944031,A,CTNG2026020.XML,2026-08-20 06:09:00.513,2026-08-20 06:09:03.590,WOS:001643716000001
CTNG2026020016466712,DATA2026020034944052,A,CTNG2026020.XML,2026-08-20 06:09:00.808,2026-08-20 06:09:04.280,WOS:001682715600003
CTNG2026020016466696,DATA2026020034944034,A,CTNG2026020.XML,2026-08-20 06:09:00.563,2026-08-20 06:09:04.735,WOS:001637030100001
CTNG2026020016466742,DATA2026020034944119,A,CTNG2026020.XML,2026-08-20 06:09:00.930,2026-08-20 06:09:04.899,WOS:001319578500001
CTNG2026020016466745,DATA2026020034944122,A,CTNG2026020.XML,2026-08-20 06:09:00.976,2026-08-20 06:09:05.210,WOS:001638754600001
CTNG2026020016466675,DATA2026020034944012,A,CTNG2026020.XML,2026-08-20 06:09:00.188,2026-08-20 06:09:05.558,WOS:001702834100003
CTNG2026020016466676,DATA2026020034944013,A,CTNG2026020.XML,2026-08-20 06:09:00.207,2026-08-20 06:09:05.596,WOS:001702834100003
CTNG2026020016466706,DATA2026020034944044,A,CTNG2026020.XML,2026-08-20 06:09:00.747,2026-08-20 06:09:03.037,WOS:001586872700014
CTNG2026020016466725,DATA2026020034944079,A,CTNG2026020.XML,2026-08-20 06:09:00.853,2026-08-20 06:09:03.660,WOS:001438727500001
CTNG2026020016466685,DATA2026020034944023,A,CTNG2026020.XML,2026-08-20 06:09:00.378,2026-08-20 06:09:03.702,WOS:001654817500001
